Id,JourneyId,Distance
route_1-neighbor_1,1501001,0
route_1-neighbor_2,1501001,3.5102754231
route_1-neighbor_3,1501001,3.7907879842
route_1-neighbor_4,1501001,3.9916159735
route_1-neighbor_5,1501001,4.1153644723
route_2-neighbor_1,1200001,0
route_2-neighbor_2,1200001,2.7925383453
route_2-neighbor_3,1200001,3.3715528321
route_2-neighbor_4,1200001,3.3882297442
route_2-neighbor_5,1200001,3.4784777871
route_3-neighbor_1,791001,0
route_3-neighbor_2,791001,4.6923576557
route_3-neighbor_3,791001,4.7679056254
route_3-neighbor_4,791001,4.7883232784
route_3-neighbor_5,791001,4.7884998512
route_4-neighbor_1,10002,0
route_4-neighbor_2,10002,2.4555590198
route_4-neighbor_3,10002,2.8459017282
route_4-neighbor_4,10002,3.2106032984
route_4-neighbor_5,10002,3.4581308973
route_5-neighbor_1,1300001,0
route_5-neighbor_2,1300001,4.3139106541
route_5-neighbor_3,1300001,4.4672612155
route_5-neighbor_4,1300001,4.6400373459
route_5-neighbor_5,1300001,4.6903051312
,,
elapsed time = 911.638821125,,
